"연월일","10대이하 남자","10대이하 여자","20대 남자","20대 여자","30대 남자","30대 여자","40대 남자","40대 여자","50대 남자","50대 여자","60대이상 남자","60대이상 여자"
"20211223","121","148","370","719","500","1362","666","1591","439","528","190","344"
"20211222","102","122","400","740","559","1433","681","1672","378","629","243","427"
"20211221","118","152","418","883","582","1610","712","1715","403","624","217","387"
"20211220","101","111","349","688","531","1180","625","1333","372","545","200","379"
"20211219","71","166","203","482","404","888","578","943","280","271","112","148"
"20211218","106","132","255","562","478","996","725","1286","352","405","161","230"
"20211217","99","132","321","674","532","1320","672","1631","421","551","206","349"
"20211216","74","136","383","735","548","1427","674","1608","352","589","193","314"
"20211215","90","116","410","765","630","1399","651","1748","430","640","232","353"
"20211214","98","136","396","785","577","1576","679","1669","338","623","191","333"
"20211213","91","96","379","656","479","1322","658","1440","376","542","179","359"
"20211212","100","136","182","494","427","1102","646","1045","275","290","94","118"
"20211211","99","154","278","556","599","1246","838","1301","344","381","161","188"
"20211210","109","131","381","740","569","1360","707","1580","402","624","196","347"
"20211209","81","130","399","747","543","1637","622","1678","380","658","218","327"
"20211208","106","158","377","832","585","1541","694","1609","418","675","218","356"
"20211207","124","121","427","754","522","1509","689","1637","418","685","188","284"
"20211206","88","115","368","688","486","1268","733","1483","409","688","236","346"
"20211205","104","150","218","466","422","971","618","1024","262","282","123","96"
"20211204","144","196","304","550","437","1084","754","1264","343","405","151","202"
"20211203","98","156","408","738","537","1286","689","1600","368","602","217","347"
"20211202","87","120","444","746","531","1356","605","1544","366","579","216","279"
"20211201","100","136","481","865","564","1487","664","1773","381","596","228","385"
"20211130","86","104","374","647","454","1309","654","1504","341","570","175","317"
"20211129","68","110","314","575","456","1225","583","1439","344","571","163","363"
"20211128","99","150","218","488","396","970","600","1077","239","273","118","117"
"20211127","130","168","291","551","478","1179","771","1331","343","400","127","179"
"20211126","78","105","345","702","479","1310","677","1539","371","619","180","390"
"20211125","61","130","353","759","490","1392","683","1573","327","624","194","308"
"20211124","73","126","376","798","558","1494","659","1710","373","643","203","388"
"20211123","65","123","398","797","550","1636","673","1791","386","631","223","320"
"20211122","65","92","303","693","426","1192","627","1434","334","569","159","370"
"20211121","127","206","197","521","370","951","605","1031","250","255","99","120"
"20211120","106","206","254","576","462","1110","741","1236","313","426","157","205"
"20211119","76","138","369","780","531","1427","675","1595","398","596","182","313"
"20211118","82","120","366","809","479","1333","672","1500","388","564","188","315"
"20211117","106","137","368","774","556","1445","720","1692","355","631","209","367"
"20211116","56","156","342","820","532","1560","715","1684","376","614","185","325"
"20211115","71","110","352","703","439","1105","647","1327","374","557","167","336"
"20211114","88","158","178","483","313","977","640","1090","257","259","98","123"
"20211113","91","156","265","548","480","1185","780","1387","325","416","172","212"
"20211112","72","143","380","779","534","1367","685","1698","397","635","212","383"
"20211111","95","137","367","783","522","1413","688","1518","389","620","219","313"
"20211110","70","123","335","833","530","1480","695","1788","414","650","215","383"
"20211109","65","155","378","723","553","1528","698","1647","426","612","202","315"
"20211108","50","82","290","577","416","1045","561","1174","364","583","168","359"
"20211107","87","118","164","472","378","1045","627","1132","247","313","102","112"
"20211106","101","126","244","608","470","1065","756","1392","299","403","147","206"
"20211105","86","110","347","755","523","1353","641","1633","396","637","202","350"
"20211104","89","97","351","768","522","1534","719","1661","390","672","184","353"
"20211103","76","129","401","901","554","1602","724","1849","449","777","248","432"
"20211102","104","132","357","777","562","1523","754","1760","430","669","206","383"
"20211101","57","94","324","756","507","1212","763","1546","441","770","192","488"
"20211031","101","146","199","557","437","1054","651","1122","310","352","129","108"
"20211030","119","182","246","587","447","1124","685","1221","315","373","141","166"
"20211029","76","87","264","699","483","1327","595","1531","294","467","178","241"
"20211028","63","116","316","722","444","1293","607","1607","370","494","193","238"
"20211027","81","126","321","725","430","1468","590","1638","294","544","201","256"
"20211026","94","137","306","691","434","1498","590","1630","358","489","203","255"
"20211025","65","100","227","574","347","1008","525","1209","285","462","142","251"
"20211024","83","125","209","621","421","1040","700","1235","351","379","147","154"
"20211023","99","137","253","647","496","1255","810","1491","393","517","200","232"
"20211022","114","175","602","1492","1161","3099","1830","3738","922","1350","468","596"
"20211021","146","259","703","1898","1570","4129","2649","4645","1249","1710","694","793"
"20211020","81","122","328","721","523","1571","704","1758","406","594","234","250"
"20211019","63","143","329","717","495","1466","540","1686","330","534","216","228"
"20211018","60","107","325","570","448","1094","431","1248","240","420","128","196"
"20211017","90","143","181","522","398","997","678","978","314","283","143","124"
"20211016","105","159","302","676","523","1323","865","1543","368","411","223","204"
"20211015","147","296","740","2018","1536","4053","2395","4720","1083","1444","497","611"
"20211014","57","108","288","690","436","1395","531","1599","228","508","177","186"
"20211013","67","139","321","715","400","1396","532","1684","280","432","162","234"
"20211012","70","113","310","731","451","1440","619","1637","281","459","140","210"
"20211011","31","61","105","363","218","649","300","657","130","185","58","85"
"20211010","87","135","180","480","425","1027","741","1107","306","296","128","92"
"20211009","34","88","115","337","244","634","420","761","148","240","61","78"
"20211008","70","89","236","566","409","1183","513","1402","234","374","153","183"
"20211007","82","98","291","724","448","1431","520","1595","242","433","130","180"
"20211006","52","105","285","619","400","1377","470","1516","262","487","151","187"
"20211005","60","124","319","707","459","1365","580","1686","315","531","168","181"
"20211004","33","43","92","345","217","614","350","760","173","251","72","83"
"20211003","29","51","96","309","187","517","325","583","148","221","84","72"
"20211002","111","151","221","535","430","1127","725","1339","342","363","146","167"
"20211001","74","110","245","658","441","1317","563","1521","318","460","150","206"
"20210930","74","108","268","709","364","1380","546","1598","256","415","149","186"
"20210929","79","81","209","582","396","1337","534","1467","277","427","124","187"
"20210928","62","111","284","652","387","1424","544","1460","286","423","172","187"
"20210927","52","91","180","501","305","1074","475","1214","209","393","114","162"
"20210926","112","139","216","531","442","1067","730","1096","279","262","115","79"
"20210925","102","146","229","540","496","1326","870","1385","325","388","106","169"
"20210924","83","147","256","653","431","1350","624","1499","257","459","153","208"
"20210923","96","170","310","738","526","1710","709","1861","365","539","170","248"
"20210922","32","64","88","316","210","654","314","777","130","221","70","70"
"20210921","30","39","102","210","124","361","190","387","76","129","55","68"
"20210920","27","45","49","239","145","379","227","395","96","170","65","54"
"20210919","87","100","167","358","317","777","504","867","256","267","89","59"
"20210918","87","167","200","404","414","1006","699","1243","290","319","109","99"
